Id,Nom,Adreca,Telefon,Fax,CorreuElectronic,Barri,PaginaWeb,Coordenades,url_icona
99587,"Farmàcia Andrades Francia, José Luis / Andrades Francia, MªÁngeles",C. General Prim 0037,933314046,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1C9188J9n0uRcUi9RqazAq83vobaKoqazAYWqazC9qazAWwpIk89qazC6zMqazB,"(41.3650304673684, 2.12543203820358)",http://www.l-h.cat/img/planol/ico_farm.gif
99598,"Farmàcia Giler Solórzano, Mirian E.",C. Portugal 0044 A/B,933362560,,,Bellvitge,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFCij88KTY439uI3HqJX0pPK1JD1U6877A8qazB,"(41.3540651757416, 2.10975134436335)",http://www.l-h.cat/img/planol/ico_farm.gif
99621,"Farmàcia Roquet Fernández de Aranburu, Concepción",C. Renclusa 0082,934382246,,,Les Planes,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKheKzuDKc39tmqazCqazA3fnOO1VlkOcTN6CM8UhgqazB,"(41.3680248528465, 2.10834139668918)",http://www.l-h.cat/img/planol/ico_farm.gif
99615,"Farmàcia Puig Romeu, José Mª",C. Progrés 0039,934491215,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKheVrCnMVylubqRlyHuYb6XFiLCkPtoir9kqazB,"(41.3738971814423, 2.11996802375766)",http://www.l-h.cat/img/planol/ico_farm.gif
99616,"Farmàcia Pujadas Piulachs, Agustí / Pujadas Piulachs, Xavier / Pujadas Saret, Agustín",C. Llobregat 0136,934495136,,,La Torrassa,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKhcN5dzHPogiC5BVIFzfC5q4zPwqazAJAZPux4qazB,"(41.3705286885998, 2.12118525961517)",http://www.l-h.cat/img/planol/ico_farm.gif
99578,"Farmàcia Cardenal Margarit, José F.",AV Carrilet 0206,,,,Sant Josep,http://www.l-h.cat/directori/detallequipament.aspx?1wtKTJisdUeTvTyTVjFjsfE6VjG1VoW8nUdGtHFoDuicqazB,"(41.3613850001609, 2.11166010575966)",http://www.l-h.cat/img/planol/ico_farm.gif
99630,"Farmàcia Massague Sole, Rosa Mª",C. Sant Joan 0002,933373119,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r3JFAEzhDIgMWJgu8ahqazCdsuqxCT6s9lkKMqazB,"(41.3623108466671, 2.09867542313322)",http://www.l-h.cat/img/planol/ico_farm.gif
99610,"Farmàcia Morales Pujol, Carmen",C. Doctor Martí i Julià 63,934497264,,,Collblanc,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdmXqRboaw6BVfPozRfIZlthFdeJfAaWvy8qazB,"(41.3736556304801, 2.12254223440558)",http://www.l-h.cat/img/planol/ico_farm.gif
146105,"Farmàcia Simón Barón, José Miguel",C. Belchite 13,934807011,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1isx6RzHRMaSqazCwqazC4yzZK7QirSIEHEpP19GbGNBXxwMRMqazB,"(41.3742905537353, 2.10325734261798)",http://www.l-h.cat/img/planol/ico_farm.gif
99637,"Farmàcia Moreno Sánchez, Carlos",C. Garrofers 0029,934497812,,,Les Planes,http://www.l-h.cat/directori/detallequipament.aspx?1T9KNDqazCckSmo38sqUzCaZCqgdwPCiYxmDovg2GZuSW1wqazB,"(41.3679085869425, 2.11194200170901)",http://www.l-h.cat/img/planol/ico_farm.gif
99620,"Farmàcia Rodergas Via, Gloria",C. Enric Prat de la Riba 0082,933373834,,,Sant Josep,http://www.l-h.cat/directori/detallequipament.aspx?1mJ0aO7xTKheqazAVUk1qazCYqzruC8P1LBIqazAr9HqazCQ5jRQbTeEqazB,"(41.3634383042834, 2.11160825735329)",http://www.l-h.cat/img/planol/ico_farm.gif
99627,"Farmàcia Sanfeliu Soto, Enrique",RB Just Oliveras 44,933373164,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r2dlNqazCFmDqSDJ0Rk63giuYABKioGhPHJxIqazB,"(41.3620592667164, 2.10105809849159)",http://www.l-h.cat/img/planol/ico_farm.gif
99608,"Farmàcia Monasterio Sánchez, Antonio",C. Covadonga 0043,934382744,,,Pubilla Casas,http://www.l-h.cat/directori/detallequipament.aspx?1hRnaF8vmNdlJbYd6QYDEk4ORE7Zg2TCNkGIFQ3gx3P8qazB,"(41.3752718464206, 2.10203608009792)",http://www.l-h.cat/img/planol/ico_farm.gif
99631,"Farmàcia Soucheiron Almela, Inmaculada",C. Enric Prat de la Riba 210,934089810,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?1aaqb5VpN9r0u9ciSiITXvmxCNnVN8EgyoObkFZ7EGWwqazB,"(41.3607770290751, 2.10527215209372)",http://www.l-h.cat/img/planol/ico_farm.gif
99604,"Farmàcia Miranda Muñoz, Alejandro",C. Major 0019,636540298,,,Centre,http://www.l-h.cat/directori/detallequipament.aspx?19mtfPIaQqazAFCVxrsHE9rGcwvEwFAAD1vlLKshtqazAJUKWwqazB,"(41.3596153268374, 2.10068526162743)",http://www.l-h.cat/img/planol/ico_farm.gif
146101,"Farmàcia Martínez Caballero, Laura",C. Aprestadora 19,933324558,,,Santa Eulàlia,http://www.l-h.cat/directori/detallequipament.aspx?1isx6RzHRMaQMKfwgsrYR1UgeDDHYgVBZk34L1ENsT3oqazB,"(41.3637424243467, 2.13137952321503)",http://www.l-h.cat/img/planol/ico_farm.gif
