DataPadro;AreaBasicaSalut;NomArea;Habitants;Habitatges;IdAreaSalut
30/4/2019;6;Santa Eulàlia Sud;24433;10265;ABS_06
30/4/2019;10;Can Serra;10275;4205;ABS_10
30/4/2019;1;Centre;29446;12973;ABS_01
30/4/2019;11;Gornal;9045;3830;ABS_11
31/5/2019;8;Florida Sud;24123;8661;ABS_08
31/5/2019;9;Pubilla Cases;30714;11592;ABS_09
31/5/2019;4;Torrassa;27693;10703;ABS_04
31/5/2019;5;Santa Eulàlia Nord;20297;8553;ABS_05
31/5/2019;11;Gornal;9033;3830;ABS_11
31/5/2019;1;Centre;29471;13062;ABS_01
31/5/2019;3;Collblanc;26265;10676;ABS_03
31/5/2019;7;Florida Nord;22661;8157;ABS_07
31/5/2019;12;Bellvitge;24940;10082;ABS_12
31/5/2019;6;Santa Eulàlia Sud;24452;10265;ABS_06
31/5/2019;10;Can Serra;10236;4205;ABS_10
31/5/2019;2;Sant Josep;23212;9662;ABS_02
30/6/2019;7;Florida Nord;22700;8157;ABS_07
30/6/2019;2;Sant Josep;23218;9662;ABS_02
30/6/2019;8;Florida Sud;24173;8661;ABS_08
30/6/2019;1;Centre;29512;13062;ABS_01
30/6/2019;5;Santa Eulàlia Nord;20281;8553;ABS_05
30/6/2019;4;Torrassa;27771;10703;ABS_04
30/6/2019;10;Can Serra;10243;4205;ABS_10
30/6/2019;11;Gornal;9067;3830;ABS_11
30/6/2019;6;Santa Eulàlia Sud;24507;10265;ABS_06
30/6/2019;12;Bellvitge;24923;10082;ABS_12
30/6/2019;9;Pubilla Cases;30782;11592;ABS_09
30/6/2019;3;Collblanc;26263;10676;ABS_03
31/7/2019;2;Sant Josep;23158;9662;ABS_02
31/7/2019;12;Bellvitge;24867;10082;ABS_12
31/7/2019;8;Florida Sud;24013;8661;ABS_08
31/7/2019;9;Pubilla Cases;30644;11589;ABS_09
31/7/2019;4;Torrassa;27685;10704;ABS_04
31/7/2019;3;Collblanc;26159;10676;ABS_03
31/7/2019;10;Can Serra;10196;4205;ABS_10
31/7/2019;7;Florida Nord;22617;8157;ABS_07
31/7/2019;1;Centre;29613;13065;ABS_01
31/7/2019;5;Santa Eulàlia Nord;20270;8553;ABS_05
31/7/2019;11;Gornal;9061;3925;ABS_11
31/7/2019;6;Santa Eulàlia Sud;24452;10265;ABS_06
31/8/2019;5;Santa Eulàlia Nord;20354;8553;ABS_05
31/8/2019;9;Pubilla Cases;30772;11589;ABS_09
31/8/2019;10;Can Serra;10214;4205;ABS_10
31/8/2019;12;Bellvitge;24948;10082;ABS_12
31/8/2019;1;Centre;29732;13068;ABS_01
31/8/2019;4;Torrassa;27814;10704;ABS_04
31/8/2019;7;Florida Nord;22700;8157;ABS_07
31/8/2019;3;Collblanc;26307;10677;ABS_03
31/8/2019;6;Santa Eulàlia Sud;24565;10265;ABS_06
31/8/2019;8;Florida Sud;24084;8661;ABS_08
31/8/2019;2;Sant Josep;23202;9662;ABS_02
31/8/2019;11;Gornal;9093;3925;ABS_11
30/9/2019;3;Collblanc;26239;10677;ABS_03
30/9/2019;6;Santa Eulàlia Sud;24428;10265;ABS_06
30/9/2019;1;Centre;29666;13068;ABS_01
