WKT;Name;description;timestamp;begin;end;altitudeMode;tessellate;extrude;visibility;drawOrder;icon;osm_id;building;building:material;access:roof;addr:street;addr:housenumber;roof:material;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
MULTIPOLYGON (((2.1068469 41.3607263,2.106872 41.3606947,2.1068656 41.3606921,2.1068837 41.3606658,2.1070319 41.3607254,2.1069905 41.3607859,2.1068469 41.3607263)));;;;;;;-1;0;-1;;;700663803;yes;;;;;;103;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1067079 41.3607784,2.1067908 41.3606632,2.1068656 41.3606921,2.106872 41.3606947,2.1068469 41.3607263,2.1068124 41.360778,2.1068076 41.3607762,2.1067856 41.360808,2.1067079 41.3607784)));;;;;;;-1;0;-1;;;700663804;yes;;;;;;109;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1071559 41.3601488,2.1072334 41.3600278,2.1074952 41.3601334,2.1074134 41.3602535,2.1071559 41.3601488)));;;;;;;-1;0;-1;;;700663976;yes;;;;;;369;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1070701 41.3602636,2.1071559 41.3601488,2.1074134 41.3602535,2.1073303 41.3603662,2.1070701 41.3602636)));;;;;;;-1;0;-1;;;700663977;yes;;;;;;355;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.106995 41.3603662,2.1070701 41.3602636,2.1073303 41.3603662,2.1072525 41.3604689,2.1072244 41.3604577,2.106995 41.3603662)));;;;;;;-1;0;-1;;;700663978;yes;;;;;;320;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.106885 41.3605283,2.106995 41.3603662,2.1072244 41.3604577,2.1072047 41.3604844,2.1070768 41.3606571,2.1069239 41.3605957,2.106928 41.3605887,2.1069052 41.3605806,2.106885 41.3605283)));;;;;;;-1;0;-1;;;700663979;yes;;;;;;525;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1070768 41.3606571,2.1072047 41.3604844,2.1072881 41.3605173,2.1073022 41.3604987,2.107373 41.3605252,2.1072367 41.3607218,2.1070768 41.3606571)));;;;;;;-1;0;-1;;;700663980;yes;;;;;;344;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1072367 41.3607218,2.107373 41.3605252,2.1074456 41.3605545,2.1073075 41.3607497,2.1072367 41.3607218)));;;;;;;-1;0;-1;;;700663981;yes;;;;;;167;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1083894 41.3610965,2.1085139 41.3609202,2.1087509 41.3610128,2.1086236 41.3611897,2.1083894 41.3610965)));;;;;;;-1;0;-1;;;704002575;yes;;;;;;495;DIS_1;Districte I;BAR_03;Sant Josep
MULTIPOLYGON (((2.1085139 41.3609202,2.1085823 41.3608248,2.1088192 41.3609184,2.1087509 41.3610128,2.1085139 41.3609202)));;;;;;;-1;0;-1;;;704002576;yes;;;;;;268;DIS_1;Districte I;BAR_03;Sant Josep
