IdSeccio;Poblacio00-02;Poblacio03-11;Poblacio12-15;Poblacio16-17;Poblacio18-24;Poblacio25-34;Poblacio35-49;Poblacio50-64;Poblacio65-74;Poblacio75 i +;PoblacioTotal
SEC_530;58;190;74;31;128;267;539;303;93;154;1837
SEC_531;33;81;35;20;83;192;253;192;69;80;1038
SEC_532;37;120;49;33;113;231;351;230;100;164;1428
SEC_533;58;177;74;35;157;299;488;360;125;194;1967
SEC_534;27;102;35;15;76;175;263;163;86;125;1067
SEC_535;13;51;32;18;61;113;172;192;135;170;957
SEC_537;21;103;47;23;109;184;313;231;116;155;1302
SEC_538;24;111;49;35;124;176;330;256;94;152;1351
SEC_601;33;154;85;43;124;234;449;400;195;300;2017
SEC_602;23;111;52;25;97;119;280;207;88;206;1208
SEC_605;38;138;66;35;93;145;340;310;166;300;1631
SEC_606;24;89;46;23;80;119;240;208;70;134;1033
SEC_607;20;71;31;16;66;116;212;207;66;209;1014
SEC_608;25;105;39;30;90;138;280;288;126;152;1273
SEC_609;16;71;37;12;55;77;196;129;93;143;829
SEC_610;25;91;37;24;89;133;213;202;129;228;1171
SEC_611;29;157;88;42;113;227;467;348;112;233;1816
SEC_612;17;58;41;19;71;109;236;161;81;208;1001
SEC_613;26;92;45;16;69;115;271;204;97;243;1178
SEC_614;14;63;43;21;60;94;205;171;117;156;944
SEC_615;15;61;29;11;56;67;190;127;96;154;806
SEC_616;49;192;111;41;185;210;482;473;243;126;2112
SEC_617;14;88;36;23;57;109;225;172;101;108;933
SEC_618;9;64;47;31;101;99;174;257;126;203;1111
SEC_619;20;99;44;24;78;123;263;254;173;219;1297
SEC_621;26;105;40;30;85;124;325;221;255;151;1362
SEC_622;15;54;28;12;56;72;190;174;96;73;770
SEC_623;22;109;66;29;88;126;314;231;200;188;1373
SEC_624;18;82;52;17;66;97;222;176;149;157;1036
SEC_625;17;64;32;19;74;90;224;228;243;154;1145
SEC_626;22;68;28;20;59;92;205;163;108;116;881
SEC_627;17;58;25;7;48;75;184;153;192;126;885
SEC_630;12;68;22;17;53;71;190;146;143;87;809
SEC_631;17;79;38;14;62;112;222;157;143;168;1012
SEC_632;11;70;44;26;66;84;234;166;86;98;885
