WKT,id,description,name,Superficie
"MULTIPOLYGON Z (((2.102364 41.363205 0,2.10251 41.363218 0,2.102504 41.363256 0,2.102466 41.363278 0,2.102377 41.363293 0,2.102356 41.363256 0,2.102364 41.363205 0)),((2.096165 41.362473 0,2.096204 41.362486 0,2.09633 41.36253 0,2.096529 41.362605 0,2.097025 41.362791 0,2.097199 41.362859 0,2.097351 41.362925 0,2.097501 41.362995 0,2.097816 41.363136 0,2.098056 41.363258 0,2.098238 41.363346 0,2.098343 41.363394 0,2.098564 41.363467 0,2.098774 41.363546 0,2.099086 41.363642 0,2.099453 41.363745 0,2.099533 41.363753 0,2.099733 41.363746 0,2.099752 41.363737 0,2.099813 41.363698 0,2.0999 41.363579 0,2.099921 41.363579 0,2.099982 41.363611 0,2.100056 41.363607 0,2.100088 41.363614 0,2.100246 41.363722 0,2.100344 41.363733 0,2.100435 41.363726 0,2.100493 41.363718 0,2.102375 41.363389 0,2.10258 41.363367 0,2.102855 41.363344 0,2.10317 41.363341 0,2.10317 41.363403 0,2.102942 41.363407 0,2.10272 41.363416 0,2.102532 41.363438 0,2.102394 41.363456 0,2.102325 41.363469 0,2.101983 41.363533 0,2.101471 41.363622 0,2.100768 41.363752 0,2.100686 41.363772 0,2.100407 41.363852 0,2.100221 41.363879 0,2.100193 41.363884 0,2.099959 41.363893 0,2.099794 41.363888 0,2.099703 41.363875 0,2.099314 41.363766 0,2.099201 41.36374 0,2.098834 41.363637 0,2.098567 41.363564 0,2.09844 41.363521 0,2.098264 41.363455 0,2.097962 41.363312 0,2.097219 41.36296 0,2.096923 41.362836 0,2.096783 41.362789 0,2.096608 41.362694 0,2.096126 41.362524 0,2.096165 41.362473 0)))","1027",,"Josep Tarradellas i Joan (c.St.Joan - av.Isabel la Catòlica), mitjana i illetes de l'av.de","6202"
"MULTIPOLYGON Z (((2.097949 41.360391 0,2.098022 41.360414 0,2.097903 41.360592 0,2.097836 41.360568 0,2.097935 41.360414 0,2.097949 41.360391 0)),((2.097426 41.360201 0,2.097487 41.360225 0,2.097441 41.360298 0,2.097417 41.360293 0,2.097392 41.360327 0,2.09732 41.360294 0,2.09736 41.360239 0,2.097395 41.36025 0,2.097426 41.360201 0)))",E001,,L'Harmonia i Ca n'Olivé (pl. Josep Bordonau),"233"
"MULTIPOLYGON Z (((2.102351 41.35863 0,2.102498 41.358684 0,2.102411 41.35881 0,2.102256 41.358757 0,2.102351 41.35863 0)),((2.103978 41.358613 0,2.104149 41.358693 0,2.104005 41.358893 0,2.104107 41.358961 0,2.103868 41.359302 0,2.104216 41.359453 0,2.104094 41.359616 0,2.103747 41.359468 0,2.103582 41.359703 0,2.10327 41.359588 0,2.103002 41.359968 0,2.10281 41.359893 0,2.102746 41.359866 0,2.10281 41.359777 0,2.102659 41.359694 0,2.102331 41.359543 0,2.102571 41.359201 0,2.102887 41.359331 0,2.102916 41.359301 0,2.102812 41.359256 0,2.103016 41.358986 0,2.102911 41.35894 0,2.10312 41.358634 0,2.103765 41.3589 0,2.103978 41.358613 0)))","1024",,"Lluís Companys, pl.de","11911"
"POLYGON Z ((2.100973 41.357458 0,2.101782 41.357802 0,2.101778 41.357812 0,2.101205 41.357848 0,2.101185 41.357842 0,2.100959 41.357465 0,2.100973 41.357458 0))","1021",,"Mare de Déu de Montserrat, pl.de la","1183"
"POLYGON Z ((2.11375 41.358024 0,2.114955 41.358882 0,2.114897 41.358966 0,2.113452 41.358403 0,2.113352 41.358302 0,2.113538 41.358045 0,2.11375 41.358024 0))","1157",,"Mig (cruïlla amb trav. Industrial), illetes de la ctra.del","4577"
"POLYGON Z ((2.097354 41.360778 0,2.097536 41.360861 0,2.097414 41.361024 0,2.097217 41.360944 0,2.097309 41.360789 0,2.097354 41.360778 0))",E003,,Museu d'Història (c.Xipreret-c.Joan Pallarés),"415"
"POLYGON Z ((2.10073 41.361109 0,2.100953 41.361165 0,2.100916 41.361241 0,2.10069 41.361186 0,2.10073 41.361109 0))",E002,,Regidoria del Centre (rb.Just Oliveras),"179"
"POLYGON Z ((2.095215 41.358962 0,2.095518 41.359019 0,2.095812 41.359094 0,2.095884 41.359111 0,2.095849 41.359187 0,2.095812 41.35927 0,2.095737 41.359313 0,2.095225 41.359072 0,2.095215 41.358962 0))","1011",,"Remunta, pl.de la","1052"
"POLYGON Z ((2.099908 41.361365 0,2.100105 41.361412 0,2.100155 41.361446 0,2.100169 41.361478 0,2.100149 41.361522 0,2.100027 41.3616 0,2.099931 41.361665 0,2.099696 41.361531 0,2.099815 41.361396 0,2.099908 41.361365 0))","1025",,"Repartidor, pl.del","787"
"POLYGON Z ((2.095411 41.362335 0,2.095721 41.36245 0,2.095741 41.362498 0,2.095678 41.362513 0,2.095373 41.362393 0,2.095411 41.362335 0))","1063",,"Residència ""Els Alps"", parterre al costat de la","233"
"POLYGON Z ((2.100121 41.35661 0,2.100468 41.356712 0,2.100508 41.356813 0,2.100487 41.356824 0,2.10035 41.356773 0,2.100076 41.356687 0,2.100121 41.35661 0))","1059",,"Riereta (camí de la Riereta - av.Carrilet), parterre del camí de la","349"
"POLYGON Z ((2.096329 41.362238 0,2.096398 41.362314 0,2.096303 41.362342 0,2.096239 41.362281 0,2.096329 41.362238 0))","1066",,"Sant Joan, pl.de","81"
"POLYGON Z ((2.106664 41.359462 0,2.107143 41.359642 0,2.107183 41.359736 0,2.107083 41.35982 0,2.106513 41.359649 0,2.106664 41.359462 0))","1073",,"Saurí (cantonada av.Fabregada), zona verda del c.","1121"
"POLYGON Z ((2.1049 41.36351 0,2.104955 41.363519 0,2.104847 41.363704 0,2.104806 41.363681 0,2.104776 41.363645 0,2.104768 41.363606 0,2.104779 41.363571 0,2.10481 41.363539 0,2.104851 41.36352 0,2.1049 41.36351 0))","1028",,"Tuzla, pl.","190"
"POLYGON Z ((2.097816 41.359896 0,2.097885 41.359906 0,2.097955 41.359917 0,2.097918 41.360017 0,2.097889 41.360035 0,2.09778 41.360048 0,2.097816 41.359896 0))","1017",,"Xipreret (c.Barcelona - c.Major), parterre del c.del","168"
