WKT;id;description;name;Superficie;idDistricte;NomDistricte;idBarri;NomBarri
POLYGON Z ((2.112699 41.355564 0,2.112791 41.355593 0,2.11245 41.356335 0,2.112348 41.356304 0,2.112699 41.355564 0));6079;;França 29 (entre el 17 i 57), jardineres del c.de;764;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.111535 41.355394 0,2.11173 41.355444 0,2.111617 41.355665 0,2.111499 41.355628 0,2.110843 41.355456 0,2.110872 41.355395 0,2.111416 41.355535 0,2.11147 41.355424 0,2.111535 41.355394 0));6074;;França 30-36 (zona posterior del bloc), c.de;883;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.111885 41.355389 0,2.112058 41.355435 0,2.112107 41.355488 0,2.112046 41.355614 0,2.112582 41.355753 0,2.11255 41.355819 0,2.111833 41.355624 0,2.111801 41.355701 0,2.111744 41.355686 0,2.111885 41.355389 0));6075;;França 31-37 (zona posterior del bloc), c.de;937;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.111671 41.354964 0,2.111912 41.355029 0,2.111758 41.355343 0,2.11172 41.355332 0,2.111767 41.35523 0,2.111048 41.35504 0,2.111074 41.354987 0,2.111597 41.355126 0,2.111671 41.354964 0));6076;;França 50-56 (zona posterior del bloc), c.de;864;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.112017 41.355163 0,2.112787 41.355367 0,2.112763 41.355419 0,2.111992 41.355215 0,2.112017 41.355163 0));6214;;França 51-57 (zona posterior del bloc, al costat d'escola-bressol), c.de;419;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.111218 41.354563 0,2.11202 41.354779 0,2.111995 41.354831 0,2.11119 41.354615 0,2.111218 41.354563 0));6077;;França 70-76 (zona posterior del bloc), c.de;441;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.112806 41.348499 0,2.112866 41.348524 0,2.112874 41.348557 0,2.112983 41.348598 0,2.113135 41.348687 0,2.113244 41.34887 0,2.112953 41.34884 0,2.112819 41.348849 0,2.112844 41.348963 0,2.112697 41.349012 0,2.112533 41.349105 0,2.1125 41.349155 0,2.112317 41.349106 0,2.112379 41.349046 0,2.11243 41.349016 0,2.112352 41.348957 0,2.112419 41.348849 0,2.112537 41.348704 0,2.112659 41.348604 0,2.112756 41.348565 0,2.112749 41.348539 0,2.112806 41.348499 0));6041;;Granvia de l'Hospitalet - rb.de la Marina (parterres av.Amèrica - Granvia - rb.Marina), av.de la;2464;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.110821 41.355776 0,2.110876 41.355784 0,2.110929 41.35581 0,2.110962 41.355849 0,2.110968 41.355875 0,2.110821 41.355776 0));6183;;Industrial - av.Fabregada, rotonda de la travessia;34;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.104364 41.35085 0,2.104411 41.350855 0,2.104469 41.350883 0,2.104507 41.350921 0,2.104511 41.350964 0,2.104502 41.351007 0,2.104469 41.351042 0,2.104257 41.350883 0,2.104303 41.350861 0,2.104364 41.35085 0));6180;;Industrial - av.Mare de Déu de Bellvitge, rotonda de la travessia;241;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.104597 41.350977 0,2.104646 41.351014 0,2.106606 41.35251 0,2.10657 41.352572 0,2.104485 41.351058 0,2.104597 41.350977 0));6002;;Industrial (av.M.Déu de Bellvitge i rb.Marina), mitjana de la travessia;2412;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.099841 41.348081 0,2.099883 41.34809 0,2.101155 41.348769 0,2.101705 41.34909 0,2.102172 41.349371 0,2.102421 41.349531 0,2.102748 41.349741 0,2.103106 41.349988 0,2.103587 41.350352 0,2.104242 41.350815 0,2.104207 41.350865 0,2.10241 41.349563 0,2.101562 41.349103 0,2.101104 41.348836 0,2.100106 41.348306 0,2.099795 41.348139 0,2.099841 41.348081 0));6001;;Industrial (c.Feixa Llarga - av.M.Déu de Bellvitge), mitjana de la travessia;3261;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.113851 41.357831 0,2.113951 41.357907 0,2.11387 41.35803 0,2.113765 41.357952 0,2.113851 41.357831 0));6151;;Industrial (costat sud, entre pge.Rovira i c.Caterina Albert), travessia;176;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.111039 41.355926 0,2.111573 41.3562 0,2.112723 41.357041 0,2.112932 41.357141 0,2.11293 41.357375 0,2.113287 41.357507 0,2.113748 41.357769 0,2.113605 41.357867 0,2.112939 41.357373 0,2.111039 41.355926 0));6165;;Industrial (entre av.Fabregada i av.Europa), travessia;3073;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.107801 41.353495 0,2.107867 41.35345 0,2.110688 41.355573 0,2.1109 41.355657 0,2.111004 41.355721 0,2.111029 41.355758 0,2.111047 41.355782 0,2.111011 41.355808 0,2.110908 41.355738 0,2.110845 41.355732 0,2.11077 41.355745 0,2.107801 41.353495 0));6167;;Industrial (entre pl.Amalvigia i av Fabregada), travessia;3032;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.10826 41.345319 0,2.110507 41.346918 0,2.110274 41.3469 0,2.108651 41.345803 0,2.10805 41.346046 0,2.108071 41.345934 0,2.108103 41.345859 0,2.108055 41.345747 0,2.108023 41.345747 0,2.107962 41.345649 0,2.108029 41.345531 0,2.10826 41.345319 0));6181;;Jaume Ventura i Tort (lateral Hotel), c.de;5563;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.10767 41.345658 0,2.107812 41.345684 0,2.107921 41.345744 0,2.108005 41.34585 0,2.108021 41.345964 0,2.107987 41.346056 0,2.107909 41.346136 0,2.107812 41.346187 0,2.107658 41.346212 0,2.107512 41.346192 0,2.107389 41.346128 0,2.107307 41.346029 0,2.107286 41.345922 0,2.107326 41.34581 0,2.1074 41.345736 0,2.107544 41.345671 0,2.10767 41.345658 0));6156;;Mare de Déu de Bellvitge (davant hotel), rotonda de l'av.de la;2908;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.107244 41.347473 0,2.108216 41.3476 0,2.108151 41.347746 0,2.107209 41.347511 0,2.107244 41.347473 0));6011;;Mare de Déu de Bellvitge 10-18 (zona posterior del bloc),  av.de la;903;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.105398 41.350013 0,2.105466 41.350026 0,2.105414 41.350146 0,2.105285 41.350115 0,2.105398 41.350013 0));6005;;Mare de Déu de Bellvitge 150 (entre av. M.D.Bellvitge i el bloc 150), av.de la;118;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.106611 41.348941 0,2.10647 41.349271 0,2.106366 41.349511 0,2.107124 41.349705 0,2.107221 41.349485 0,2.107382 41.349525 0,2.107174 41.350004 0,2.106988 41.350405 0,2.106429 41.350261 0,2.105362 41.349987 0,2.106402 41.349052 0,2.10654 41.348958 0,2.106611 41.348941 0));6006;;Mare de Déu de Bellvitge 150-164 (zona entre els blocs 150-164 i el 90-98), av.de la;11580;DIS_6;Districte VI;BAR_12;Bellvitge
POLYGON Z ((2.108282 41.3476 0,2.108423 41.347638 0,2.107598 41.349523 0,2.107451 41.349496 0,2.108282 41.3476 0));6013;;Mare de Déu de Bellvitge 18-98 (av.M.D.Bellvitge - c.Ermita), zona verda de l'av.;2780;DIS_6;Districte VI;BAR_12;Bellvitge
