AnyPadro;Seccio;GrupEdat;Dones;Homes;Total;IdSeccio
2004;416;25-34;67;89;156;SEC_416
2004;234;65-74;65;37;102;SEC_234
2004;604;75 i +;26;14;40;SEC_604
2004;410;12-15;16;20;36;SEC_410
2004;314;25-34;205;219;424;SEC_314
2004;521;25-34;85;110;195;SEC_521
2004;619;16-17;15;9;24;SEC_619
2004;609;00-02;12;7;19;SEC_609
2004;409;65-74;41;33;74;SEC_409
2004;624;35-49;80;104;184;SEC_624
2004;431;00-02;28;25;53;SEC_431
2004;138;35-49;90;79;169;SEC_138
2004;138;18-24;40;54;94;SEC_138
2004;218;65-74;36;25;61;SEC_218
2004;506;65-74;84;84;168;SEC_506
2004;213;25-34;94;101;195;SEC_213
2004;512;16-17;4;8;12;SEC_512
2004;115;65-74;70;44;114;SEC_115
2004;605;75 i +;31;21;52;SEC_605
2004;533;75 i +;33;28;61;SEC_533
2004;238;00-02;10;11;21;SEC_238
2004;431;18-24;77;83;160;SEC_431
2004;132;25-34;176;214;390;SEC_132
2004;116;03-11;53;43;96;SEC_116
2004;420;16-17;8;16;24;SEC_420
2004;111;03-11;16;27;43;SEC_111
2004;318;12-15;23;22;45;SEC_318
2004;208;50-64;199;155;354;SEC_208
2004;420;18-24;71;74;145;SEC_420
2004;216;35-49;138;116;254;SEC_216
2004;405;18-24;31;29;60;SEC_405
2004;205;03-11;31;23;54;SEC_205
2004;117;18-24;109;111;220;SEC_117
2004;301;12-15;35;41;76;SEC_301
2004;215;03-11;30;34;64;SEC_215
2004;511;03-11;27;24;51;SEC_511
2004;318;00-02;4;12;16;SEC_318
2004;314;00-02;23;32;55;SEC_314
2004;609;18-24;34;26;60;SEC_609
2004;413;35-49;57;75;132;SEC_413
2004;536;18-24;37;40;77;SEC_536
2004;601;65-74;75;86;161;SEC_601
2004;223;16-17;5;7;12;SEC_223
2004;506;35-49;183;186;369;SEC_506
2004;101;65-74;45;43;88;SEC_101
2004;226;65-74;74;49;123;SEC_226
2004;517;75 i +;50;23;73;SEC_517
2004;507;65-74;36;34;70;SEC_507
2004;204;00-02;9;4;13;SEC_204
2004;244;03-11;17;21;38;SEC_244
2004;441;00-02;24;20;44;SEC_441
2004;508;16-17;6;4;10;SEC_508
2004;307;12-15;12;32;44;SEC_307
2004;621;65-74;51;47;98;SEC_621
2004;611;18-24;77;56;133;SEC_611
2004;621;35-49;132;118;250;SEC_621
2004;506;12-15;32;44;76;SEC_506
2004;415;00-02;10;12;22;SEC_415
2004;440;35-49;74;94;168;SEC_440
2004;120;65-74;46;48;94;SEC_120
2004;617;65-74;65;53;118;SEC_617
2004;523;18-24;62;68;130;SEC_523
2004;324;35-49;99;113;212;SEC_324
2004;628;18-24;48;41;89;SEC_628
2004;226;03-11;38;36;74;SEC_226
2004;515;25-34;56;76;132;SEC_515
2004;410;03-11;46;72;118;SEC_410
2004;528;50-64;112;93;205;SEC_528
2004;630;03-11;21;32;53;SEC_630
2004;226;25-34;119;120;239;SEC_226
2004;225;25-34;39;53;92;SEC_225
2004;530;00-02;17;15;32;SEC_530
2004;513;65-74;58;46;104;SEC_513
2004;419;03-11;44;44;88;SEC_419
2004;502;18-24;81;69;150;SEC_502
2004;132;75 i +;63;40;103;SEC_132
2004;435;00-02;14;16;30;SEC_435
2004;625;50-64;164;179;343;SEC_625
2004;108;25-34;105;105;210;SEC_108
2004;604;18-24;35;36;71;SEC_604
2004;126;35-49;71;75;146;SEC_126
2004;308;25-34;184;178;362;SEC_308
2004;401;03-11;49;45;94;SEC_401
2004;524;03-11;54;55;109;SEC_524
2004;103;12-15;15;7;22;SEC_103
2004;408;65-74;58;49;107;SEC_408
2004;523;12-15;19;21;40;SEC_523
2004;537;75 i +;64;38;102;SEC_537
2004;406;65-74;77;78;155;SEC_406
2004;534;16-17;8;11;19;SEC_534
2004;225;00-02;0;2;2;SEC_225
2004;516;65-74;46;32;78;SEC_516
2004;432;00-02;10;9;19;SEC_432
2004;201;16-17;7;5;12;SEC_201
2004;221;18-24;42;59;101;SEC_221
2004;536;75 i +;45;39;84;SEC_536
2004;616;12-15;68;75;143;SEC_616
2004;412;65-74;95;100;195;SEC_412
2004;428;25-34;57;68;125;SEC_428
2004;232;16-17;9;9;18;SEC_232
2004;101;12-15;17;29;46;SEC_101
2004;139;16-17;5;7;12;SEC_139
2004;530;25-34;131;178;309;SEC_530
2004;132;35-49;245;243;488;SEC_132
2004;134;65-74;44;39;83;SEC_134
2004;416;12-15;8;17;25;SEC_416
2004;422;16-17;11;13;24;SEC_422
2004;242;25-34;87;115;202;SEC_242
2004;207;75 i +;65;28;93;SEC_207
2004;428;75 i +;24;24;48;SEC_428
2004;411;18-24;47;50;97;SEC_411
2004;513;16-17;6;4;10;SEC_513
2004;316;50-64;269;301;570;SEC_316
2004;235;35-49;146;157;303;SEC_235
2004;522;18-24;53;48;101;SEC_522
2004;438;03-11;27;32;59;SEC_438
2004;431;12-15;25;20;45;SEC_431
2004;407;35-49;115;102;217;SEC_407
2004;110;00-02;12;9;21;SEC_110
2004;236;00-02;22;11;33;SEC_236
2004;218;25-34;63;81;144;SEC_218
2004;130;35-49;106;124;230;SEC_130
2004;311;16-17;12;13;25;SEC_311
2004;417;25-34;59;79;138;SEC_417
2004;605;35-49;50;50;100;SEC_605
2004;127;65-74;45;39;84;SEC_127
2004;131;35-49;153;150;303;SEC_131
2004;120;25-34;150;152;302;SEC_120
2004;433;65-74;53;44;97;SEC_433
2004;224;18-24;26;30;56;SEC_224
2004;233;75 i +;64;25;89;SEC_233
2004;511;25-34;61;72;133;SEC_511
2004;227;03-11;27;24;51;SEC_227
2004;420;03-11;48;53;101;SEC_420
2004;527;12-15;23;14;37;SEC_527
2004;106;65-74;65;39;104;SEC_106
2004;248;03-11;42;33;75;SEC_248
2004;632;18-24;34;55;89;SEC_632
2004;527;03-11;41;26;67;SEC_527
2004;248;65-74;61;56;117;SEC_248
